50帧频道,#genre#
重庆卫视,http://111.225.94.14:33333/hls/55/index.m3u8
重庆卫视,http://111.225.94.238:33333/hls/55/index.m3u8
重庆卫视,http://121.24.98.5:8090/hls/78/index.m3u8
重庆卫视,http://123.183.76.21:808/hls/43/index.m3u8
重庆卫视,http://171.13.119.47:808/hls/80/index.m3u8
重庆卫视,http://222.89.28.102:808/hls/80/index.m3u8
东南卫视,http://111.225.94.110:33333/hls/50/index.m3u8
东南卫视,http://111.225.94.14:33333/hls/50/index.m3u8
东南卫视,http://111.225.94.238:33333/hls/50/index.m3u8
东南卫视,http://121.24.98.5:8090/hls/36/index.m3u8
东南卫视,http://123.183.76.21:808/hls/44/index.m3u8
东南卫视,http://171.13.119.47:808/hls/83/index.m3u8
东南卫视,http://222.89.28.102:808/hls/83/index.m3u8
东南卫视,http://61.52.157.201:808/hls/83/index.m3u8
都市,http://123.11.144.185:22222/hls/17/index.m3u8
甘肃卫视,http://123.183.76.21:808/hls/56/index.m3u8
甘肃卫视,http://171.13.119.47:808/hls/89/index.m3u8
甘肃卫视,http://222.89.28.102:808/hls/89/index.m3u8
甘肃卫视,http://61.52.157.201:808/hls/77/index.m3u8
贵州卫视,http://111.225.94.110:33333/hls/53/index.m3u8
贵州卫视,http://111.225.94.14:33333/hls/53/index.m3u8
贵州卫视,http://111.225.94.238:33333/hls/53/index.m3u8
贵州卫视,http://121.24.98.5:8090/hls/40/index.m3u8
贵州卫视,http://123.183.76.21:808/hls/39/index.m3u8
贵州卫视,http://171.13.119.47:808/hls/71/index.m3u8
贵州卫视,http://222.89.28.102:808/hls/71/index.m3u8
国防军事,http://123.183.76.21:808/hls/88/index.m3u8
海南卫视,http://111.225.94.110:33333/hls/42/index.m3u8
海南卫视,http://111.225.94.14:33333/hls/42/index.m3u8
海南卫视,http://111.225.94.238:33333/hls/42/index.m3u8
海南卫视,http://171.13.119.47:808/hls/88/index.m3u8
